evento,url,fecha,lugar
UFC 247: Jones vs. Reyes,http://ufcstats.com/event-details/b26d3e3746fb4024,8/2/2020,"Houston, Texas, USA"
UFC Fight Night: Blaydes vs. Dos Santos,http://ufcstats.com/event-details/44aa652b181bcf68,25/1/2020,"Raleigh, North Carolina, USA"
UFC 246: McGregor vs. Cowboy,http://ufcstats.com/event-details/0c1773639c795466,18/1/2020,"Las Vegas, Nevada, USA"
UFC Fight Night: Edgar vs. The Korean Zombie,http://ufcstats.com/event-details/74fefd43f073cd2f,21/12/2019,"Busan, South Korea"
UFC 245: Usman vs. Covington,http://ufcstats.com/event-details/4565d435005319c0,14/12/2019,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Rozenstruik,http://ufcstats.com/event-details/b09890ba7ce1d1e2,7/12/2019,"Washington, DC, USA"
UFC Fight Night: Blachowicz vs. Jacare,http://ufcstats.com/event-details/81ca2c245b19b3c5,16/11/2019,"Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Zabit vs. Kattar,http://ufcstats.com/event-details/8d5daf67983b65ba,9/11/2019,"Moscow, Moscow, Russia"
UFC 244: Masvidal vs. Diaz,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,2/11/2019,"New York City, New York, USA"
UFC Fight Night: Maia vs. Askren,http://ufcstats.com/event-details/df05aa15b2d66f57,26/10/2019,"Kallang, Singapore"
UFC Fight Night: Reyes vs. Weidman,http://ufcstats.com/event-details/3ae10ac4df3df05c,18/10/2019,"Boston, Massachusetts, USA"
UFC Fight Night: Joanna vs. Waterson,http://ufcstats.com/event-details/0941df56f6ac954b,12/10/2019,"Tampa, Florida, USA"
UFC 243: Whittaker vs. Adesanya,http://ufcstats.com/event-details/3cf68c1d17f66af7,5/10/2019,"Melbourne, Victoria, Australia"
UFC Fight Night: Hermansson vs. Cannonier,http://ufcstats.com/event-details/1bf49bf829964144,28/9/2019,"Copenhagen, Denmark"
UFC Fight Night: Rodriguez vs. Stephens,http://ufcstats.com/event-details/94a5aaf573f780ad,21/9/2019,"Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Cowboy vs. Gaethje,http://ufcstats.com/event-details/4834ff149dc9542a,14/9/2019,"Vancouver, British Columbia, Canada"
UFC 242: Khabib vs. Poirier,http://ufcstats.com/event-details/a79bfbc01b2264d6,7/9/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Andrade vs. Zhang,http://ufcstats.com/event-details/2c104b7e59a72629,31/8/2019,"Shenzhen, Guangdong, China"
UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,17/8/2019,"Anaheim, California, USA"
